matchId,href,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
UafVZvi2,https://www.flashscore.com/match/basketball/cyprus-YPE5m6og/france-dS5MsX25/summary/?mid=UafVZvi2,24.11. 17:00,France,Cyprus,85,70,28,19,21,17,,14,20,24,12,
YTUUftTR,https://www.flashscore.com/match/basketball/finland-hrkQcWHb/georgia-E9skCSvt/summary/?mid=YTUUftTR,24.11. 16:00,Georgia,Finland,81,64,17,21,17,26,,21,19,13,11,
x2yMd2bF,https://www.flashscore.com/match/basketball/czech-republic-nHbZvVnO/netherlands-KIf2hoPB/summary/?mid=x2yMd2bF,24.11. 15:00,Netherlands,Czech Republic,77,70,25,12,17,23,,10,17,14,29,
joDvpPE9,https://www.flashscore.com/match/basketball/israel-Q7cwvk2U/ukraine-4h9UuBXH/summary/?mid=joDvpPE9,23.11. 17:00,Ukraine,Israel,73,86,19,18,18,18,,16,20,29,21,
UyCrqqUF,https://www.flashscore.com/match/basketball/iceland-QeebgR95/italy-n5lUdjX4/summary/?mid=UyCrqqUF,22.11. 20:30,Iceland,Italy,71,95,12,13,29,17,,27,22,16,30,
AZeso5a3,https://www.flashscore.com/match/basketball/portugal-dGX2fgYh/slovenia-vHfUe4nd/summary/?mid=AZeso5a3,22.11. 20:00,Portugal,Slovenia,82,74,22,27,15,18,,10,14,24,26,
j9eRzLyd,https://www.flashscore.com/match/basketball/bulgaria-t8oMbC2h/montenegro-rN44xrxQ/summary/?mid=j9eRzLyd,22.11. 19:00,Montenegro,Bulgaria,85,62,20,24,21,20,,16,11,25,10,
MZjNy1Mk,https://www.flashscore.com/match/basketball/germany-bVp0e7fa/sweden-fuqXiPgO/summary/?mid=MZjNy1Mk,22.11. 18:30,Sweden,Germany,73,72,26,11,18,18,,18,19,19,16,
ObBnr3qM,https://www.flashscore.com/match/basketball/hungary-UDBtdAnB/turkey-EJrArDma/summary/?mid=ObBnr3qM,22.11. 18:30,Turkey,Hungary,92,66,27,16,19,30,,20,17,12,17,
rqhJxs7q,https://www.flashscore.com/match/basketball/belgium-jk5QtiIB/latvia-IPYbeZIn/summary/?mid=rqhJxs7q,22.11. 18:00,Latvia,Belgium,75,72,17,25,17,16,,25,19,13,15,
